stim_id,utt_id,speaker,canonical_text,actual_text,foil_text,target_word_index,target_word,actual_word,target_phone_sub,foil_word_index,foil_word_original,foil_word,foil_phone_sub,real_target_start,real_target_end,ref_target_start,ref_target_end,real_foil_start,real_foil_end,ref_foil_start,ref_foil_end,has_foil,align_ok,word_accuracy,utt_accuracy
R0000,000010113,00001,THEN HE WENT TO THEME PARK,THEN HE WENT TO THUMB PARK,THEN HE WENT DO THEME PARK,4,THEME,THUMB,IY->AH@1,3,TO,DO,T->D@0,1.934,2.055,0.603,0.844,1.652,1.793,0.482,0.542,yes,yes,2,6
R0001,000530060,00053,SIR THREE PLANTING GRAFF,SIR THREE PLANTING GRAPH,,3,GRAFF,GRAPH,AA->AE@2,,,,,3.63,3.71,0.848,1.312,,,,,no,yes,5,7
R0002,003060002,00306,JUST SET HOOK AND PUT THE PRESSURE,JUST SIT HOOK AND PUT THE PRESSURE,JUST SET HOOK END PUT THE PRESSURE,1,SET,SIT,EH->IH@1,3,AND,END,AE->EH@0,0.724,1.266,0.325,0.507,1.97,2.151,0.75,0.832,yes,yes,3,4
R0003,003060107,00306,THE BALL IS IN THEIR COURT NOW,THE BELL IS IN THEIR COURT NOW,THE BALL IS IT THEIR COURT NOW,1,BALL,BELL,AO->EH@1,3,IN,IT,N->T@1,1.046,1.166,0.161,0.362,1.649,1.79,0.503,0.543,yes,yes,3,4
R0004,003060161,00306,WHAT WHAT WOULD HAVE YOU HAPPEN,WHAT WHAT HOOD HAVE YOU HAPPEN,WHAT WHAT WOULD HAVE TO HAPPEN,2,WOULD,HOOD,W->HH@0,4,YOU,TO,Y->T@0,1.524,1.685,0.426,0.568,2.447,2.547,0.77,0.852,yes,yes,3,5
R0005,003060259,00306,END OF THE ROAD FOR SOME PLAYERS,END OF THE LOAD FOR SOME PLAYERS,AND OF THE ROAD FOR SOME PLAYERS,3,ROAD,LOAD,R->L@0,0,END,AND,EH->AH@0,1.364,1.524,0.422,0.603,0.0,0.722,0.0,0.181,yes,yes,3,5
R0006,003060263,00306,THEY FALL IN LOVE WITH MY PERSONALITY NOT ME,THEY FELL IN LOVE WITH MY PERSONALITY NOT ME,THE FALL IN LOVE WITH MY PERSONALITY NOT ME,1,FALL,FELL,AO->EH@1,0,THEY,THE,EY->AH@1,1.082,1.242,0.221,0.422,0.0,0.982,0.0,0.161,yes,yes,3,5
R0007,003060306,00306,IT WAS NOT MY HEART THAT HE WAS AFTER,IT WAS NOT MAY HEART THAT HE WAS AFTER,IN WAS NOT MY HEART THAT HE WAS AFTER,3,MY,MAY,AY->EY@1,0,IT,IN,T->N@1,1.703,1.964,0.823,0.943,0.0,0.02,0.0,0.281,yes,no,3,5
R0008,004610065,00461,NATIONALLY THOUGH THE TREND IS BEGINNING TO TURN UPWARD AGAIN,NATIONALLY SO THE TREND IS BEGINNING TO TURN UPWARD AGAIN,NATIONALLY THOUGH THE TREND IN BEGINNING TO TURN UPWARD AGAIN,1,THOUGH,SO,DH->S@0,4,IS,IN,Z->N@1,1.784,2.025,0.604,0.744,3.047,3.569,1.589,1.65,yes,yes,3,5
R0009,004820201,00482,I FALL IN LOVE WITH MORE AND MORE EVERYDAY,I FILL IN LOVE WITH MORE AND MORE EVERYDAY,I FALL IT LOVE WITH MORE AND MORE EVERYDAY,1,FALL,FILL,AO->IH@1,2,IN,IT,N->T@1,0.661,0.941,0.222,0.443,1.042,1.122,0.503,0.564,yes,yes,3,8
R0010,005670348,00567,I WILL KNOW WHAT TO DO,I WILL NOW WHAT TO DO,I WILL KNOW WHAT DO DO,2,KNOW,NOW,OW->AW@1,4,TO,DO,T->D@0,1.068,1.35,0.345,0.488,1.834,2.036,0.813,0.935,yes,yes,3,6
R0011,005670356,00567,A SURGEON WAS AT WORK AMONG THE SUFFERERS,A SURGEON WAS AT WORK AMONG THEE SUFFERERS,A SURGEON WAS IT WORK AMONG THE SUFFERERS,6,THE,THEE,AH->IY@1,3,AT,IT,AE->IH@0,3.452,3.673,1.247,1.308,2.308,2.409,0.724,0.785,yes,yes,3,5
R0012,007360108,00736,THE CRIME RATE IS HIGH,THE CRIME RIGHT IS HIGH,THE CRIME RATE IN HIGH,2,RATE,RIGHT,EY->AY@1,3,IS,IN,Z->N@1,1.344,1.725,0.464,0.687,1.906,1.986,0.767,0.828,yes,yes,3,3
R0013,010610099,01061,LOWEN GOT ON THE BUS,LOWEN GOAT ON THE BUS,LOWEN GOT IN THE BUS,1,GOT,GOAT,AH->OW@1,2,ON,IN,AH->IH@0,1.283,1.764,0.365,0.588,1.904,2.205,0.669,0.73,yes,yes,3,7
R0014,010760089,01076,RARELY GOT THE SHIRT,RARELY GOAT THE SHIRT,,1,GOT,GOAT,AH->OW@1,,,,,1.85,2.373,0.426,0.588,,,,,no,yes,3,3
R0015,011860332,01186,I TELL YOU IT IS DEATH,I TELL YOU IT IS DEBT,I TELL YOU IN IS DEATH,5,DEATH,DEBT,TH->T@2,3,IT,IN,T->N@1,2.327,3.27,1.028,1.533,1.685,1.785,0.565,0.625,yes,yes,3,7
R0016,014040111,01404,MIKE WAS WALKING TO SCIENCE MUSEUM,MIKE WAYS WALKING TO SCIENCE MUSEUM,LIKE WAS WALKING TO SCIENCE MUSEUM,1,WAS,WAYS,AH->EY@1,0,MIKE,LIKE,M->L@0,2.449,2.67,0.341,0.462,0.0,0.06,0.0,0.281,yes,yes,3,4
R0017,014080279,01408,HAPPY SUNDAY IS A DAY OF PRAISE,HAPPY SUNDAY IS A DAY OF PRIZE,HAPPY SUNDAY IN A DAY OF PRAISE,6,PRAISE,PRIZE,EY->AY@2,2,IS,IN,Z->N@1,2.808,3.69,1.309,1.974,1.604,1.885,0.765,0.826,yes,yes,5,7
R0018,014180143,01418,LUCY WILL A READ IN JUNE SIXTH SEE,LUCY WILL A READ IN JIM SIXTH SEE,LUCY WILL A READ IT JUNE SIXTH SEE,5,JUNE,JIM,UW->IH@1;N->M@2,4,IN,IT,N->T@1,4.213,4.534,0.985,1.206,3.932,4.132,0.904,0.944,yes,yes,3,7
R0019,014220140,01422,TIM IS NOT A REAL STUDENT,TOM IS NOT A REAL STUDENT,TIM IS CUT A REAL STUDENT,0,TIM,TOM,IH->AA@1,2,NOT,CUT,N->K@0,0.0,0.04,0.0,0.161,1.687,2.008,0.322,0.463,yes,no,3,3
R0020,014350103,01435,HENNY GOT ON THE YACHT,HENNY GOT ON THE YET,HENNY GOT IN THE YACHT,4,YACHT,YET,AA->EH@1,2,ON,IN,AH->IH@0,2.295,3.16,0.726,1.231,1.328,1.429,0.545,0.585,yes,yes,3,3
R0021,014350127,01435,STEEVEN GOT THE CUCUMBER,STEEVEN GOAT THE CUCUMBER,STEEVEN GOT CA CUCUMBER,1,GOT,GOAT,AH->OW@1,2,THE,CA,DH->K@0,1.107,1.449,0.263,0.425,1.509,1.65,0.465,0.526,yes,yes,3,5
R0022,014390076,01439,LILLY HAS A BIG TOE,LILLY HAS A BIG TO,LILLY HAS A BEEN TOE,4,TOE,TO,OW->UW@1,3,BIG,BEEN,G->N@2,5.29,5.33,0.925,1.428,3.446,3.807,0.664,0.825,yes,no,3,8
R0023,014470150,01447,IS IT SO FATHER,IT IT SO FATHER,IS IT NO FATHER,0,IS,IT,Z->T@1,2,SO,NO,S->N@0,0.0,0.664,0.0,0.163,1.348,1.429,0.549,0.691,yes,yes,3,4
R0024,020300053,02030,LYNDA GOT THE SUNGLASSES,LYNDA GOAT THE SUNGLASSES,LYNDA GOT CA SUNGLASSES,1,GOT,GOAT,AH->OW@1,2,THE,CA,DH->K@0,1.443,1.643,0.382,0.522,2.184,2.444,0.562,0.623,yes,yes,3,7
R0025,020300073,02030,MIKE GOT THE SHORTS,MIKE GOAT THE SHORTS,LIKE GOT THE SHORTS,1,GOT,GOAT,AH->OW@1,0,MIKE,LIKE,M->L@0,0.903,1.524,0.324,0.446,0.0,0.822,0.0,0.284,yes,yes,3,4
R0026,022360321,02236,THERE'S NOTHING THAT UNUSUAL ABOUT THE STRUCTURE OF THE PLAN,THERE'S NOTHING THAT UNUSUAL ABOUT THE STRUCTURE OF THE PLANE,THERE'S NOTHING THAT UNUSUAL ABOUT THE STRUCTURE OF CA PLAN,9,PLAN,PLANE,AE->EY@2,8,THE,CA,DH->K@0,3.267,4.55,2.273,2.856,3.127,3.227,2.172,2.233,yes,yes,5,7
R0027,023800338,02380,THIS IS NO FANCY SKETCH BUT THE TRUTH,THIS IS NA FANCY SKETCH BUT THE TRUTH,THIS IN NO FANCY SKETCH BUT THE TRUTH,2,NO,NA,OW->AA@1,1,IS,IN,Z->N@1,1.065,1.286,0.343,0.444,0.904,1.005,0.222,0.303,yes,yes,3,8
R0028,024300131,02430,I MEAN IT WAS THE LAST SUPPER,I MEAN IT WAS THE LAST SUPER,I MEAN IN WAS THE LAST SUPPER,6,SUPPER,SUPER,AH->UW@1,2,IT,IN,T->N@1,2.146,3.089,1.504,1.985,1.043,1.264,0.441,0.642,yes,yes,5,8
R0029,025380158,02538,PUTTING ALL OF US AT RISK OF A NUCLEAR WAR,PUTTING ALL OF US AT RISK OF A NUCLEAR WAY,PUTTING ALL OF US IT RISK OF A NUCLEAR WAR,9,WAR,WAY,AO->EY@1,4,AT,IT,AE->IH@0,4.307,4.347,2.305,2.345,1.823,1.883,0.842,0.902,yes,no,3,7
R0030,030490142,03049,IT IS A LONG STORY,IT IS AH LONG STORY,IT IS A LONG STORED,2,A,AH,AH->AA@0,4,STORY,STORED,IY->D@4,0.824,0.864,0.605,0.625,3.194,3.274,0.928,1.533,yes,no,3,8
R0031,034120161,03412,THE YEAR WAS NOW OVER,THE YEAR WAS NO OVER,THE YEAR WAS NOW EVER,3,NOW,NO,AW->OW@1,4,OVER,EVER,OW->EH@0,1.631,1.853,0.562,0.703,2.034,2.96,0.844,1.266,yes,yes,3,8
R0032,050170099,05017,MY SONG MY SONG AND ALL THAT,MY SOON MY SONG AND ALL THAT,MY SONG MY SONG AND OR THAT,1,SONG,SOON,AH->UW@1;NG->N@2,5,ALL,OR,L->R@1,0.724,0.985,0.263,0.486,2.533,2.654,1.154,1.255,yes,yes,3,3
R0033,050170132,05017,NO SHE MUST JUST WAIT AND SEE WHAT WOULD HAPPEN,NO SHE MUST JUST WET AND SEE WHAT WOULD HAPPEN,SO SHE MUST JUST WAIT AND SEE WHAT WOULD HAPPEN,4,WAIT,WET,EY->EH@1,0,NO,SO,N->S@0,2.004,2.225,0.947,1.209,0.0,0.02,0.0,0.222,yes,no,3,6
R0034,054140010,05414,HOW COULD SHE LIVE AND WHAT WOULD SHE DO,HOW COULD SHE LIVE AND WHAT COULD SHE DO,HE COULD SHE LIVE AND WHAT WOULD SHE DO,6,WOULD,COULD,W->K@0,0,HOW,HE,AW->IY@1,3.154,3.375,1.225,1.365,0.0,0.04,0.0,0.141,yes,no,3,8
R0035,054320058,05432,SHE HAD HER HANDS FULL JUST THEN,SHE HAD HER HANDS FILL JUST THEN,SHE HAD HE HANDS FULL JUST THEN,4,FULL,FILL,UH->IH@1,2,HER,HE,ER->IY@1,1.828,2.15,0.685,0.866,1.246,1.447,0.282,0.363,yes,yes,3,6
R0036,054320118,05432,THEN HE WOULD BEGIN TO WORRY ABOUT HIS FUTURE,THEN HE COULD BEGIN TO WORRY ABOUT HIS FUTURE,THEIR HE WOULD BEGIN TO WORRY ABOUT HIS FUTURE,2,WOULD,COULD,W->K@0,0,THEN,THEIR,N->R@2,1.223,1.403,0.401,0.542,0.0,0.822,0.0,0.221,yes,yes,3,5
R0037,069120170,06912,BUT WE HAVE LOST THE BEST OF MEN,BUT WE HAD LOST THE BEST OF MEN,BUT SEE HAVE LOST THE BEST OF MEN,2,HAVE,HAD,V->D@2,1,WE,SEE,W->S@0,1.408,1.588,0.284,0.406,1.166,1.327,0.183,0.243,yes,yes,3,8
R0038,070010018,07001,MY PEOPLE WILL BRING YOU TO THE SHIP,MY PEOPLE WILL BRING YOU TO THE SHOP,ME PEOPLE WILL BRING YOU TO THE SHIP,7,SHIP,SHOP,IH->AA@1,0,MY,ME,AY->IY@1,13.628,13.688,1.348,1.811,0.0,0.02,0.0,0.181,yes,no,3,5
R0039,080020006,08002,TIME FOR A BIT OF HONOR,TIME FOR A BAT OF HONOR,TIME FAR A BIT OF HONOR,3,BIT,BAT,IH->AE@1,1,FOR,FAR,AO->AA@1,5.028,6.51,0.447,0.569,3.425,3.806,0.264,0.345,yes,yes,3,4
R0040,080020011,08002,LOVING LIFE AND ALL THE PEOPLE IN MINE,LOVING LIFE AND ALL THE PEOPLE IN MEAN,LOVING LIFE AND ALL THE PEOPLE IT MINE,7,MINE,MEAN,AY->IY@1,6,IN,IT,N->T@1,14.314,14.374,1.47,1.974,12.372,12.452,1.37,1.41,yes,yes,3,7
R0041,080020015,08002,WANT TO GO FOR A WALK,WANT TO GO FOR A WAKE,WANT TO SO FOR A WALK,5,WALK,WAKE,AO->EY@1,2,GO,SO,G->S@0,5.473,5.533,0.713,1.08,2.767,2.987,0.367,0.448,yes,yes,3,7
R0042,090880130,09088,DO YOU REALLY AND TRULY SAY SO,DO YOU REALLY AND TRULY SAY NO,DO YOU REALLY AND TRULY SEE SO,6,SO,NO,S->N@0,5,SAY,SEE,EY->IY@1,3.075,3.135,1.779,1.8,2.19,2.351,1.092,1.254,yes,yes,3,7
R0043,096000005,09600,I HAVE LOOKED WITH MY VERY EYES ON HELL,I HAVE LOOKED WITH MY VERY EYES ON HE'LL,I HAVE LOOKED WITH MY VERY EYES IN HELL,8,HELL,HE'LL,EH->IY@1,7,ON,IN,AH->IH@0,7.328,7.388,1.688,2.09,5.706,6.187,1.567,1.648,yes,yes,3,4
R0044,096000007,09600,HE MADE NO MOVE IT WOULD COME WHAT WOULD COME,HE MAKE NO MOVE IT WOULD COME WHAT WOULD COME,HE MADE NO MOVE IN WOULD COME WHAT WOULD COME,1,MADE,MAKE,D->K@2,4,IT,IN,T->N@1,1.081,1.461,0.181,0.342,3.943,4.103,0.804,0.904,yes,yes,3,3
R0045,096000010,09600,I THOUGHT I WOULD NEVER SMILE AGAIN,I THOUGHT I COULD NEVER SMILE AGAIN,,3,WOULD,COULD,W->K@0,,,,,3.404,3.625,0.522,0.663,,,,,no,yes,3,3
R0046,096000012,09600,THIS WAS THE MAN WHO HAD KILLED HIS FATHER,THIS WAS THE MAN WHO HAVE KILLED HIS FATHER,THIS WAS THE MAN TO HAD KILLED HIS FATHER,5,HAD,HAVE,D->V@2,4,WHO,TO,HH->T@0,4.208,4.689,0.985,1.086,3.346,4.108,0.844,0.925,yes,yes,3,5
R0047,096000013,09600,THEN I SAW HIM AT ONCE,THEN I SEE HIM AT ONCE,THEN I SAW HIM IT ONCE,2,SAW,SEE,AO->IY@1,4,AT,IT,AE->IH@0,1.743,2.344,0.303,0.505,3.986,5.168,0.727,0.787,yes,yes,3,3
R0048,096000014,09600,I MUST HAVE WALKED INTO IT,I MUST HAD WALKED INTO IT,I MUST HAVE WALKED INTO IN,2,HAVE,HAD,V->D@2,5,IT,IN,T->N@1,1.787,2.349,0.424,0.546,5.481,5.501,1.617,1.637,yes,no,3,4
R0049,096000015,09600,HE PUT HIS OTHER HAND ON THE WALL AS WELL,HE PUT HIS OTHER HAND ON THE WALL AS WILL,HE PUT HIS OTHER HAND IN THE WALL AS WELL,9,WELL,WILL,EH->IH@1,5,ON,IN,AH->IH@0,8.205,8.265,1.628,2.09,5.263,5.363,1.025,1.085,yes,yes,3,5
R0050,096000017,09600,SHE'S LEFT ME HERE TO FACE HIM ON MY OWN,SHE'S LEFT ME HERE TO FACE HIM ON MY ON,SHE'S LEFT ME HERE TO FACE HIM ON ME OWN,9,OWN,ON,OW->AA@0,8,MY,ME,AY->IY@1,7.951,7.991,1.726,2.148,7.45,7.49,1.586,1.666,yes,no,3,4
R0051,096000021,09600,IT WAS NOT LIKE SHE HAD ANY POWER OVER ANYTHING,IT WAS NOT LIKE SHE HAVE ANY POWER OVER ANYTHING,IN WAS NOT LIKE SHE HAD ANY POWER OVER ANYTHING,5,HAD,HAVE,D->V@2,0,IT,IN,T->N@1,3.384,3.985,1.068,1.169,0.0,0.02,0.0,0.161,yes,no,3,4
R0052,096010001,09601,THERE WAS NO WAY SHE COULD USE IT,THERE WAS NA WAY SHE COULD USE IT,THERE WAS NO WAY SHE COULD USE IN,2,NO,NA,OW->AA@1,7,IT,IN,T->N@1,1.784,2.025,0.321,0.402,7.318,7.338,1.768,1.788,yes,no,3,3
R0053,096010004,09601,SHE OPENED HER EYES STARING UP AT HIM,SHE OPENED HER EYES STARING UP EIGHT HIM,SEE OPENED HER EYES STARING UP AT HIM,6,AT,EIGHT,AE->EY@0,0,SHE,SEE,SH->S@0,6.867,7.147,1.375,1.436,0.0,0.721,0.0,0.121,yes,yes,3,5
R0054,096010007,09601,YOU MAY NOT WANT TO KNOW,YOU MY NOT WANT TO KNOW,TO MAY NOT WANT TO KNOW,1,MAY,MY,EY->AY@1,0,YOU,TO,Y->T@0,0.803,1.044,0.163,0.265,0.0,0.723,0.0,0.123,yes,yes,3,5
R0055,096010011,09601,THAT YOU LOVE ME AS MUCH AS I LOVE YOU,THAT YOU LOVE ME OZ MUCH AS I LOVE YOU,THAT TO LOVE ME AS MUCH AS I LOVE YOU,4,AS,OZ,AE->AA@0,1,YOU,TO,Y->T@0,1.684,1.844,0.744,0.824,0.802,0.922,0.221,0.322,yes,yes,3,4
R0056,096010015,09601,I TAKE THE TIME TO LOOK THE DOG OVER,I TAKE THE TIME TO LOCK THE DOG OVER,I TAKE THE TIME TO LOOK THE DONE OVER,5,LOOK,LOCK,UH->AA@1,7,DOG,DONE,G->N@2,2.725,2.985,0.983,1.124,3.907,4.067,1.284,1.505,yes,yes,3,3
R0057,096010016,09601,HE IS THE BEST COOK IN THE WORLD TOO,HE IS THE BEST CAKE IN THE WORLD TOO,HE IS THE BEST COOK IT THE WORLD TOO,4,COOK,CAKE,UH->EY@1,5,IN,IT,N->T@1,2.007,2.308,0.766,0.927,2.589,2.669,0.968,1.008,yes,yes,3,4
