file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
096190006,0.0,6.015,SPEAKER9619,-45.354206680855484,-50.893518686294556,36.49608183963322,14.855700618312717
096150012,0.0,12.29,SPEAKER9615,-50.84870194263629,-54.878625106811526,34.30161649827272,11.251643556835392
096080018,0.0,6.171,SPEAKER9608,-56.314715863047,-55.51464707510812,30.226399897094627,8.439954613881717
080020003,0.0,17.106,SPEAKER8002,-46.05669199298656,-51.753904147025864,20.949708093681114,4.1316133401338675
096150028,0.0,7.513,SPEAKER9615,-50.474825233022635,-58.85602424258278,19.461134186071046,4.510714505992645
070010002,0.0,12.163,SPEAKER7001,-47.4788175884046,-56.635227813720704,17.972225719086737,6.598606371279901
096230011,0.0,5.955,SPEAKER9623,-48.598016726090606,-56.32357687699167,17.73524970884644,13.788680815130318
096230020,0.0,12.229,SPEAKER9623,-48.18484579415372,-53.227831522623696,17.103197388621965,4.356793365480167
096150021,0.0,10.045,SPEAKER9615,-47.85940998134328,-56.6002552325909,17.05956644855393,4.988763577951966
096160005,0.0,4.737,SPEAKER9616,-50.84882235627637,-56.96234108419979,16.85052033474077,11.518182418858782
096260006,0.0,7.939,SPEAKER9626,-44.931040420340054,-53.63429962158203,16.56315029845918,16.63607241786262
020300173,0.0,3.62,SPEAKER2030,-42.21481677313536,-45.68605334942158,15.410431639575757,12.023008006203462
096230017,0.0,9.476,SPEAKER9623,-42.82195658623418,-47.68880165947808,15.302290416685192,12.96577827455455
096040016,0.0,7.32,SPEAKER9604,-52.68474641393443,-60.81606521606445,15.030024354866374,15.50387128123384
096230005,0.0,6.82,SPEAKER9623,-45.67572110978739,-52.502354049682616,14.963634025157722,13.611170805079501
096490008,0.0,6.05,SPEAKER9649,-48.23441373966942,-56.04459473182415,14.89871123084634,6.193279083267582
096150010,0.0,10.987,SPEAKER9615,-48.57668903548681,-53.48181864420573,14.865467347302808,12.354375792619674
070010020,0.0,12.521,SPEAKER7001,-48.34324767871406,-55.104110145568846,14.369737826035733,3.9515072415771275
070010017,0.0,12.281,SPEAKER7001,-45.584133881311075,-52.61963994879471,14.229413274977405,8.208823286665861
096100008,0.0,5.604,SPEAKER9610,-47.828846958705356,-50.08064505633186,14.078939507131798,7.641792243344387
096100019,0.0,6.068,SPEAKER9610,-47.79556540877265,-53.17200269197163,14.000404259346375,16.04015512992605
080020019,0.0,11.571,SPEAKER8002,-43.72113358902334,-57.91344954750755,13.544236356308042,12.900225811250252
014040089,0.0,3.8,SPEAKER1404,-46.859148848684214,-58.726500511169434,13.542633110164228,3.4259158462486248
096470005,0.0,6.395,SPEAKER9647,-44.71775817871094,-49.611485114464394,13.433951174801042,6.2018588532178285
096430003,0.0,7.647,SPEAKER9643,-45.862091503267976,-49.96389636993408,13.29524283141523,8.414136311962613
096400008,0.0,9.222,SPEAKER9640,-45.560220648047725,-51.03200566768646,13.010423733828034,9.992705960163327
096280012,0.0,5.04,SPEAKER9628,-46.818684895833336,-57.92695999145508,12.836849771676235,5.786519553777712
096400002,0.0,6.785,SPEAKER9640,-45.15670448269514,-50.12631441199261,12.818376579457693,5.959466337801111
022510152,0.0,4.653,SPEAKER2251,-48.249932795698925,-52.00483721778507,12.661849177248113,10.92578817437783
030490055,0.0,7.13,SPEAKER3049,-42.71509576612903,-46.07976133927055,12.59653027094234,16.0942809941795
096040019,0.0,5.449,SPEAKER9604,-53.73107081422018,-58.80376874483549,12.287399824409752,12.940712911882802
096110017,0.0,6.25,SPEAKER9611,-45.68943125,-48.432743191719055,12.217489446555826,11.302770136624584
096150007,0.0,12.52,SPEAKER9615,-47.927837335263575,-53.79579059894268,12.013136292441098,2.9573129883213927
096090008,0.0,11.697,SPEAKER9609,-44.717624866452994,-54.47592334747314,11.944236672892862,5.7917003129218045
096260008,0.0,7.515,SPEAKER9626,-47.61564993351064,-52.870187465961166,11.66909727602203,13.892542747613808
096150011,0.0,11.74,SPEAKER9615,-50.108473301746166,-57.22929426339957,11.409759399238038,2.6550131102020735
096100017,0.0,6.01,SPEAKER9610,-49.63768718801997,-53.82426994725277,11.300003554505142,11.402174928039225
096280026,0.0,4.949,SPEAKER9628,-46.098157354797976,-57.914857625961304,11.025861537349465,14.188641419993651
096080017,0.0,5.49,SPEAKER9608,-51.310699852003644,-53.60641574859619,11.025578173019298,14.59740502517461
096350006,0.0,8.814,SPEAKER9635,-49.23213588961408,-58.35365581512451,10.975005737098444,5.629258598918776
096230007,0.0,5.174,SPEAKER9623,-47.17534680246615,-54.530675172805786,10.926625485137283,14.904662620197191
096230015,0.0,6.76,SPEAKER9623,-41.37755408653846,-48.235741559196924,10.847175743962195,13.590517222852862
096040001,0.0,6.174,SPEAKER9604,-56.19497062398703,-57.316601788556135,10.716237398231318,3.1440423464117373
096330008,0.0,5.335,SPEAKER9633,-44.67999839068352,-48.45706329345703,10.626088537354855,10.886218799122236
096260019,0.0,8.661,SPEAKER9626,-46.95651703233256,-56.3829007582231,10.573548572637245,14.20924835822267
096150017,0.0,9.282,SPEAKER9615,-46.515730233028016,-54.4960748884413,10.529676544227506,11.823233726110983
096140012,0.0,9.464,SPEAKER9614,-46.360370144027485,-56.0216613345676,10.407522583263573,6.981075830040751
096140008,0.0,6.463,SPEAKER9614,-47.10716790828173,-55.272004071403956,10.397766890121003,6.826057386581542
007390062,0.0,5.459,SPEAKER0739,-50.060682806776555,-60.82003475370861,10.331194975681047,17.276226119110255
024270028,0.0,5.536,SPEAKER2427,-47.98922960852888,-50.117291154532595,10.331192609650524,14.42032412592913
096230012,0.0,6.074,SPEAKER9623,-45.85278521416804,-49.576836903889976,10.227774782373626,10.26476496697505
069020090,0.0,7.0,SPEAKER6902,-46.41649553571428,-56.64773125484072,10.221255588158957,12.306393670552367
096150018,0.0,8.729,SPEAKER9615,-47.69433705612829,-53.529968897501625,10.153962846137462,5.521175304400593
096430010,0.0,9.481,SPEAKER9643,-47.81922880406118,-56.49050019916735,10.132718139195635,3.2386875462503184
096100018,0.0,8.481,SPEAKER9610,-48.182013745577834,-57.2466650390625,10.130553358086196,8.16250972949896
014390134,0.0,5.86,SPEAKER1439,-43.45937433340443,-47.599715440169625,10.023127397505567,11.030468035260553
096140015,0.0,8.658,SPEAKER9614,-46.79017663827945,-58.29367733001709,9.983593217914462,11.98432962371522
096080025,0.0,6.13,SPEAKER9608,-50.56983457381729,-49.50089569091797,9.902768359665702,13.452357449455306
096490009,0.0,6.098,SPEAKER9649,-52.52550268954918,-59.55791745867048,9.901162919886065,4.440439463834775
096150027,0.0,6.521,SPEAKER9615,-48.09349837039877,-55.41094611672794,9.873889636026622,12.728006765186304
028920224,0.0,3.82,SPEAKER2892,-43.00394204024869,-46.198097483317056,9.810412631358869,18.60525609295028
096300018,0.0,3.302,SPEAKER9630,-46.02836766098485,-49.00822194417318,9.741753205611996,9.546746870650768
096060009,0.0,9.43,SPEAKER9606,-56.09335647534464,-63.494530751154976,9.556346358857157,2.669211589473351
040050358,0.0,3.337,SPEAKER4005,-47.93685675523952,-53.02849893008961,9.406534940606779,12.786317504443446
000700065,0.0,7.37,SPEAKER0070,-44.85247943521031,-48.055502827962236,9.228262396302817,16.08621379094844
095560069,0.0,4.918,SPEAKER9556,-49.3143538808435,-51.875081062316895,9.200798317611893,7.672126264041351
014190095,0.0,3.48,SPEAKER1419,-51.04936130567529,-56.09896392822266,9.198307481313076,11.914235800697336
096080006,0.0,8.376,SPEAKER9608,-49.588212261336515,-51.8647279103597,9.132521234146191,12.576474716498375
014040109,0.0,6.36,SPEAKER1404,-44.340031078026726,-51.27561232622932,9.113304709060642,13.542000483485456
096220015,0.0,8.232,SPEAKER9622,-48.55096635783718,-53.09482616848416,9.11131498121422,4.272444703932834
096150024,0.0,12.093,SPEAKER9615,-50.234585013440864,-57.2038354544804,9.097824692633633,3.0077577150515395
096100004,0.0,7.04,SPEAKER9610,-49.02383700284091,-54.9757474899292,9.061421270617553,4.531028055798304
070010004,0.0,15.668,SPEAKER7001,-46.14661774090619,-52.956953725507184,9.000636206014326,5.044828169867058
096150020,0.0,11.135,SPEAKER9615,-49.5591442717684,-53.33179693955641,8.899189846270785,2.2759274592302923
000050003,0.0,4.343,SPEAKER0005,-51.752263644873274,-54.64505360921224,8.866855739571438,11.23808656764772
070010015,0.0,19.735,SPEAKER7001,-49.73236448834853,-60.09806645711263,8.866851718638227,3.7471125196276915
096010012,0.0,7.387,SPEAKER9601,-48.229490866035185,-54.458785329546245,8.84607844177055,14.712920841911716
096090017,0.0,14.39,SPEAKER9609,-47.80963342599027,-51.75403227124895,8.785257172024211,2.7801912967788613
010610080,0.0,2.68,SPEAKER1061,-48.105796700093286,-52.45483186509874,8.777148182685583,16.921457091014254
096350009,0.0,6.585,SPEAKER9635,-49.342534853945374,-61.44688015892392,8.7768397584547,11.837110509060558
069020103,0.0,5.96,SPEAKER6902,-41.69259909815436,-54.38918533325195,8.711207611028007,16.02907910403506
096260012,0.0,6.956,SPEAKER9626,-49.31031115301724,-57.571173095703124,8.618549216695191,3.5387096795116637
096040008,0.0,3.97,SPEAKER9604,-51.55007773142317,-56.8205924987793,8.611893845042365,9.367693428516365
096280021,0.0,5.8,SPEAKER9628,-47.83221982758621,-56.55061340332031,8.609524342637567,10.691942918535949
096430012,0.0,7.629,SPEAKER9643,-44.85296014908257,-50.90717107599432,8.55071697018838,3.2103733874648874
096090019,0.0,11.254,SPEAKER9609,-46.03946527777778,-55.12324737548828,8.547030033163638,7.394159403307329
000440104,0.0,5.373,SPEAKER0044,-54.14582242202049,-58.44681234920726,8.478346629658073,7.93205375854199
001330075,0.0,3.494,SPEAKER0133,-49.239260610673355,-54.06199713314281,8.468279896763942,13.7774687596362
096060010,0.0,7.719,SPEAKER9606,-54.61636779468912,-61.89498233795166,8.405139340504517,12.354641940375688
014220140,0.0,4.78,SPEAKER1422,-45.79197584335774,-55.034502129805716,8.392872317651847,14.675660917524386
095560150,0.0,4.498,SPEAKER9556,-50.253741319444444,-50.7640495300293,8.362921529719022,15.04789628407716
096250002,0.0,7.308,SPEAKER9625,-49.07770284712722,-49.25359902015099,8.359803506163882,5.36798602892596
096150006,0.0,13.46,SPEAKER9615,-49.527808088781576,-54.25237610760857,8.359512506079788,6.337798769063859
014040124,0.0,5.96,SPEAKER1404,-42.720735895553695,-50.00413270430131,8.320335336487606,12.77051257676251
096220018,0.0,7.881,SPEAKER9622,-46.16782994923858,-53.39997114453997,8.283167427978562,9.462503972713161
014040081,0.0,6.12,SPEAKER1404,-51.802696078431374,-62.69703896840414,8.27008270826759,1.6153961663280114
030210042,0.0,5.08,SPEAKER3021,-45.71822327140748,-47.30690468682183,8.16846644470384,11.39745189494345
096230006,0.0,6.127,SPEAKER9623,-42.390153446166394,-50.851582527160645,8.167054245710169,8.770223246686584
054320129,0.0,6.35,SPEAKER5432,-49.7113312007874,-53.13356399536133,8.14675085602743,7.2471993885173
096190010,0.0,4.215,SPEAKER9619,-45.355306760959714,-52.86269760131836,8.125961838900572,14.682672752099258
003060263,0.0,4.989,SPEAKER0306,-54.73025738977956,-56.88950137434335,8.125961838900572,12.833821460992962
096250017,0.0,4.531,SPEAKER9625,-42.6898497861479,-48.517984517415364,8.117612884579794,11.200789033513564
096110012,0.0,5.252,SPEAKER9611,-41.89014880952381,-46.61028525942848,8.117612884579794,13.81367092318126
096240015,0.0,8.34,SPEAKER9624,-45.17829642535971,-51.791318822790075,8.089229294274226,10.651951714419049
080020001,0.0,10.517,SPEAKER8002,-41.383607117395435,-53.763307647705076,8.008902588224466,14.094218772012157
022080085,0.0,4.149,SPEAKER2208,-49.28285485692771,-52.1551273890904,7.985994001333421,14.212845900236786
096170015,0.0,4.03,SPEAKER9617,-48.884101659429284,-54.74428987503052,7.9671896516697585,19.469482080149277
096290002,0.0,5.39,SPEAKER9629,-44.03807687847866,-51.438539822896324,7.961692323694142,11.385637618264546
096150026,0.0,14.853,SPEAKER9615,-50.835748106060606,-54.58975657710322,7.923140686622104,2.2523748412299565
014390135,0.0,8.65,SPEAKER1439,-48.53172416907515,-52.27176775251116,7.922414926246324,4.797976678498671
096350012,0.0,10.835,SPEAKER9635,-51.14124481088561,-59.88379939397176,7.899197698551182,3.3104286092918684
096150019,0.0,9.057,SPEAKER9615,-48.935270936810156,-52.0438907847685,7.884132245747665,3.421035869234977
096130010,0.0,4.343,SPEAKER9613,-50.653099798387096,-58.84858644925631,7.884131532298544,16.75544028022904
001120156,0.0,3.077,SPEAKER0112,-52.89143351765422,-65.87189169491039,7.844346561499983,15.814953633723954
000560074,0.0,4.17,SPEAKER0056,-50.23097927907674,-50.2278359153054,7.825233313802289,3.9470204086470915
014220003,0.0,5.851,SPEAKER1422,-47.627764423076925,-55.458790947409234,7.777938765775287,13.370318618121074
096000010,0.0,7.169,SPEAKER9600,-43.11752255491632,-49.86244000886616,7.750991369309643,8.22125532806248
069020155,0.0,6.28,SPEAKER6902,-45.66925631966561,-57.51311694874483,7.7346416718267,13.838476088936853
096150009,0.0,8.105,SPEAKER9615,-47.65723258323058,-54.94547510147095,7.718225263093435,13.485378157600138
011970081,0.0,4.68,SPEAKER1197,-41.364837907318375,-47.057610511779785,7.684508798971207,15.709538204204353
096170020,0.0,5.221,SPEAKER9617,-49.93945686661878,-55.687622494167755,7.679789226990057,18.130734679919964
096430009,0.0,6.066,SPEAKER9643,-42.66198066824547,-47.364475651791224,7.597824706825744,13.600314447651485
080020014,0.0,5.702,SPEAKER8002,-40.46499109100877,-53.64651870727539,7.570604910167944,11.794753267946863
010610171,0.0,5.26,SPEAKER1061,-44.58463046577947,-53.22784678141276,7.570085645102217,14.488345726146594
009600338,0.0,4.208,SPEAKER0960,-48.29340947891924,-55.04751678466797,7.570084337316774,12.998195196303108
096060005,0.0,6.822,SPEAKER9606,-50.254215542522,-53.33812780941234,7.46037944764349,5.681134755942978
014220038,0.0,2.492,SPEAKER1422,-43.47081686119478,-43.730536052158904,7.4347191105336226,12.410123640027464
003060025,0.0,6.18,SPEAKER0306,-56.23706765776699,-61.91294695879962,7.405526348914127,16.11214400888684
003060161,0.0,3.71,SPEAKER0306,-53.716796875,-63.67465832358912,7.40084673266701,15.815449907088489
004610362,0.0,3.73,SPEAKER0461,-47.41409391756032,-49.55078463120894,7.387721258732493,13.349034826587427
096160018,0.0,8.111,SPEAKER9616,-47.883626502774355,-56.57093324332401,7.350674557970206,12.10389059363728
096260003,0.0,6.964,SPEAKER9626,-50.14770227191092,-62.23211203681098,7.343093357165004,4.233732829817519
096390018,0.0,4.224,SPEAKER9639,-45.34850322126777,-48.727090199788414,7.342951251208894,10.367811972404702
096330022,0.0,7.943,SPEAKER9633,-44.71096209855164,-50.4960368347168,7.319749804485363,6.428601270489295
080020004,0.0,8.236,SPEAKER8002,-38.35784141762743,-55.52688462393625,7.311263821081187,13.082770044322169
007650061,0.0,7.67,SPEAKER0765,-51.802436440677965,-55.896671040852866,7.295822113133564,13.309508879504563
055470122,0.0,7.67,SPEAKER5547,-42.209539500488916,-52.335346446317786,7.2958208053481215,15.811596542932834
014040005,0.0,7.48,SPEAKER1404,-48.60144238803476,-56.90523719787598,7.255842433819617,8.110269291512159
007650084,0.0,5.744,SPEAKER0765,-49.98321129137631,-53.2638185674494,7.243195837843238,11.97086432659022
096290021,0.0,6.515,SPEAKER9629,-46.45066861579755,-51.49875965118408,7.240969341350562,14.045856072514955
014040013,0.0,6.76,SPEAKER1404,-45.90489783653846,-52.311928812662764,7.186115915674837,8.263162716067603
014220066,0.0,4.13,SPEAKER1422,-42.47273191585956,-49.11876326340895,7.167021258216792,15.913375034621769
096230014,0.0,9.974,SPEAKER9623,-47.4307296890672,-56.05902594107169,7.155562042868669,3.119247665864547
030490166,0.0,6.35,SPEAKER3049,-47.44984313484252,-54.80516185760498,7.154100143718037,3.972041073655433
096350018,0.0,5.668,SPEAKER9635,-47.23315214395944,-52.592350260416666,7.13689397477619,10.63875596433314
096000004,0.0,6.494,SPEAKER9600,-43.15235277831279,-46.884983204029226,7.131817133158416,8.454538051554913
096340018,0.0,8.78,SPEAKER9634,-41.88434741600228,-47.760961055755615,7.131814524238892,10.680274619869277
020270142,0.0,5.61,SPEAKER2027,-46.421711369206776,-54.087423706054686,7.131264778623638,13.999011386552477
096330017,0.0,5.968,SPEAKER9633,-45.71583503454774,-49.86956460135324,7.06816009623078,10.195199799742209
096140004,0.0,9.298,SPEAKER9614,-50.03841985887097,-57.895937486128375,7.053931915155305,6.61342094295448
070010018,0.0,13.688,SPEAKER7001,-44.91817704528853,-55.74701534618031,7.021561196735798,7.182151819568389
022420015,0.0,2.591,SPEAKER2242,-46.62411392977799,-51.0412230858436,7.021431792565193,15.489259297264175
080020005,0.0,5.953,SPEAKER8002,-42.301572347689074,-53.484840393066406,7.008126329887802,13.084484661767862
096180021,0.0,5.236,SPEAKER9618,-51.62516773020038,-53.89622729757558,6.926557245050553,15.159977631369607
007360299,0.0,4.0,SPEAKER0736,-50.2649169921875,-54.658135096232094,6.911853691491627,15.731703347875456
096300003,0.0,4.127,SPEAKER9630,-44.37106537530266,-48.2819938659668,6.882018876989546,9.99060995770401
096080026,0.0,7.667,SPEAKER9608,-49.0598160446545,-54.67611010869344,6.879436274617614,9.576319117851103
096490003,0.0,7.438,SPEAKER9649,-47.45909463205645,-57.60372128693954,6.861961738045337,5.175588333850836
021680052,0.0,4.103,SPEAKER2168,-50.830430640243904,-53.54512939453125,6.861439786605618,6.988127615469109
010760116,0.0,5.796,SPEAKER1076,-56.034132543103446,-56.7509007661239,6.860669188615498,2.357575144405377
007360196,0.0,5.75,SPEAKER0736,-48.422775135869564,-51.07709775652204,6.825989902033012,10.165305069001352
096140017,0.0,8.352,SPEAKER9614,-44.496500748502996,-50.998020503831945,6.820458588427421,11.299488468205213
