stim_id,source_utt,canonical_text,substituted_text,word_index,original_word,substituted_word,rule,distortion_target_word_index,distortion_type,clean_word_start,clean_word_end,dist_made
S0000,000010069,TOM GIVES UP BOXING,TOM GIVES UP BOXIN,3,BOXING,BOXIN,FINAL_STOP_DROP,3,stretch_1.6x,0.6,0.96,yes
S0001,000010095,LOOK AT ANN'S PANTS,ROOK AT ANN'S PANTS,0,LOOK,ROOK,L->R,0,stretch_1.6x,0.0,0.18,yes
S0002,000010106,WHAT ABOUT THE BUS,WHAT ABOU THE BUS,1,ABOUT,ABOU,FINAL_STOP_DROP,1,stretch_1.6x,0.14,0.32,yes
S0003,000010113,THEN HE WENT TO THEME PARK,SEN HE WENT TO THEME PARK,0,THEN,SEN,TH->S,0,stretch_1.6x,0.0,0.16,yes
S0004,000010115,LET'S GO TO THE RESTROOM,LET'S GO TO THE LESTROOM,4,RESTROOM,LESTROOM,R->L,4,stretch_1.6x,0.66,0.98,yes
S0005,000010121,THEN MIKE WALKS TO COFFEE,SEN MIKE WALKS TO COFFEE,0,THEN,SEN,TH->S,0,stretch_1.6x,0.0,0.18,yes
S0006,000010122,SO MARY WENT ON TO STUDY,SO MARY VENT ON TO STUDY,2,WENT,VENT,W->V,2,stretch_1.6x,0.3,0.6,yes
S0007,000010145,MARK LIVED IN NEW YORK,MARK LIVED IN NEW YOR,4,YORK,YOR,FINAL_STOP_DROP,4,stretch_1.6x,0.9,1.2,yes
S0008,000010149,BOB LIVES IN CAIRO NOW,BOB RIVES IN CAIRO NOW,1,LIVES,RIVES,L->R,1,stretch_2.0x,0.18,0.4,yes
S0009,000030012,MARK IS GOING TO SEE ELEPHANT,MAR IS GOING TO SEE ELEPHANT,0,MARK,MAR,FINAL_STOP_DROP,0,stretch_2.0x,0.0,0.2,yes
S0010,000030067,LAYLA IS GOOD AT SWIMMING,LAYLA IS GOOD AT SWIMMIN,4,SWIMMING,SWIMMIN,FINAL_STOP_DROP,4,stretch_2.0x,0.8,1.08,yes
S0011,000030069,ALICE GIVE UP BOXING,ALICE GIVE UP BOXIN,3,BOXING,BOXIN,FINAL_STOP_DROP,3,stretch_1.6x,0.58,0.96,yes
S0012,000030079,LAYLA WANTS HAVE SOME SALAD,LAYLA VANTS HAVE SOME SALAD,1,WANTS,VANTS,W->V,1,stretch_2.0x,,,no
