stim_id,utt_id,canonical_text,substituted_text,word_index,original_word,substituted_word,rule,phone_index,clean_word_start,clean_word_end,sub_word_start,sub_word_end,dist_made,distortion_type,dist_word_start,dist_word_end
B0000,020140036,TWO ONE SIX ONE,TWO ONE SIX WIN,3,ONE,WIN,AH->IH,1,0.669,1.115,0.627,1.091,yes,stretch_2.0x,0.669,1.552
B0001,001030099,PETER HAS A BEAUTIFUL HAT,PETER HAS A BEAUTIFUL HATE,4,HAT,HATE,AE->EY,1,1.016,1.463,1.034,1.44,yes,stretch_2.0x,1.016,1.902
B0002,096120014,THIS WAS THE PLACE ALL RIGHT,THUS WAS THE PLACE ALL RIGHT,0,THIS,THUS,IH->AH,1,0.0,0.182,0.0,0.243,yes,stretch_2.0x,0.0,0.356
B0003,096450014,NOT THAT THERE'S ANYTHING WRONG WITH YOUR THING,NOT THAT THERE'S ANYTHING LONG WITH YOUR THING,4,WRONG,LONG,R->L,0,1.007,1.229,1.01,1.192,yes,stretch_1.6x,1.007,1.346
B0004,013360171,I HOPE YOU WILL HAVE THE BEST BIRTHDAY,I HOPE YOU WILL HAVE THE BASED BIRTHDAY,6,BEST,BASED,EH->EY,1,0.869,1.072,0.888,1.131,yes,stretch_1.6x,0.869,1.178
B0005,096430004,NO SUCH LUCK GRACED HER HOWEVER,NO SUCH LOCK GRACED HER HOWEVER,2,LUCK,LOCK,AH->AA,1,0.624,0.805,0.607,0.809,yes,stretch_2.0x,0.624,0.97
B0006,096450004,HE NEVER SHUT HIS EYES,HE NEVER SHOT HIS EYES,2,SHUT,SHOT,AH->AA,1,0.468,0.652,0.442,0.664,yes,stretch_1.6x,0.468,0.746
B0007,001490077,LILLY LIKES LIKES YOUR RED GLOVES,LILLY LIKES LIKES YOUR LEAD GLOVES,4,RED,LEAD,R->L,0,1.152,1.333,1.094,1.276,yes,stretch_1.6x,1.152,1.426
B0008,030600099,TAKE CAR OF MY HAIR,TAKE CAR OF MY SHARE,4,HAIR,SHARE,HH->SH,0,0.689,1.115,0.726,1.231,yes,stretch_2.0x,0.689,1.532
B0009,020890215,UNTIL YOU SIT AND LISTEN TO IT,UNTIL YOU SIT AND LESSON TO IT,4,LISTEN,LESSON,IH->EH,1,1.046,1.308,1.132,1.435,yes,stretch_2.0x,1.046,1.554
B0010,096450013,AND WHEN THEY GET WHAT THEY WANT THEY WANT MORE,AND ONE THEY GET WHAT THEY WANT THEY WANT MORE,1,WHEN,ONE,EH->AH,1,0.242,0.364,0.281,0.381,yes,stretch_1.6x,0.242,0.421
B0011,023270319,I WANT YOUR GOOD NOTHING SO MUCH AS THAT,I WANT YOUR GOOD NOTHING SO MATCH AS THAT,6,MUCH,MATCH,AH->AE,1,1.21,1.351,1.19,1.392,yes,stretch_1.6x,1.21,1.42
B0012,010270198,SOME OF US ARE NOT HERE TO BE LOVED,SOME OF US ARE NOT HERE TO BE LIVED,8,LOVED,LIVED,AH->IH,1,1.405,1.846,1.377,1.823,yes,stretch_1.6x,1.405,2.103
B0013,012600017,A NEW TRACK IS PLANNED FOR THE FUTURE,A NEW TRUCK IS PLANNED FOR THE FUTURE,2,TRACK,TRUCK,AE->AH,2,0.384,0.627,0.383,0.625,yes,stretch_2.0x,0.384,0.854
B0014,090340164,HAVE YOU HAD SIGHT OF ANYTHING,HAVE YOU HAD SIT OF ANYTHING,3,SIGHT,SIT,AY->IH,1,0.484,0.726,0.506,0.668,yes,stretch_2.0x,0.484,0.952
B0015,022440361,BUT ONLY IF SHE COULD HANDLE THE HEAT,BUT ONLY IF SHE COULD HANDLE THE SHEET,7,HEAT,SHEET,HH->SH,0,1.217,1.602,1.235,1.66,yes,stretch_1.6x,1.217,1.825
B0016,060990034,LOVE HIM HE DID NO AND COULD NOT,LOVE HIM HE DEAD NO AND COULD NOT,3,DID,DEAD,IH->EH,1,0.604,0.704,0.603,0.744,yes,stretch_1.6x,0.604,0.748
B0017,020300173,AS MANY AS TWELVE,AS MINI AS TWELVE,1,MANY,MINI,EH->IH,1,0.264,0.467,0.284,0.487,yes,stretch_1.6x,0.264,0.573
B0018,030120021,WELL THAT'S IS GOODS,WELL THAT'S IS GODS,3,GOODS,GODS,UH->AA,1,0.708,1.254,0.663,1.266,yes,stretch_1.6x,0.708,1.573
B0019,001140049,SIX ZERO FOUR SIX,SUCKS ZERO FOUR SIX,0,SIX,SUCKS,IH->AH,1,0.0,0.183,0.0,0.244,yes,stretch_1.6x,0.0,0.285
B0020,060480005,FOR THESE HE TOOK THE MONEY,FOR THESE HE TOOK THE MINI,5,MONEY,MINI,AH->IH,1,0.79,1.196,1.077,1.138,yes,stretch_1.6x,0.79,1.431
B0021,030880086,I DO NOT KNOW WHERE,I DO NOT KNOW WELL,4,WHERE,WELL,R->L,2,0.608,1.033,0.632,1.08,yes,stretch_1.6x,0.608,1.28
B0022,007390070,IT'S ABOUT WHAT KIND OF LIVES AMERICAN PEOPLE WILL LEAD,IT'S ABOUT WHAT KIND OF LIVES AMERICAN PEOPLE WILL LAID,9,LEAD,LAID,EH->EY,1,2.471,2.833,2.436,2.798,yes,stretch_1.6x,2.471,3.042
B0023,012030083,BET LIKES YOUR BLUE JAZZ,BIT LIKES YOUR BLUE JAZZ,0,BET,BIT,EH->IH,1,0.0,0.162,0.0,0.163,yes,stretch_2.0x,0.0,0.316
B0024,020610174,HOPE IT'S JUST A EUROPE ISSUE,HOP IT'S JUST A EUROPE ISSUE,0,HOPE,HOP,OW->AA,1,0.0,0.223,0.0,0.182,yes,stretch_2.0x,0.0,0.438
B0025,060100128,SOME OF THE MEN WHERE TALKING AWAY THE TABLES,SOME OF THE MIN WHERE TALKING AWAY THE TABLES,3,MEN,MIN,EH->IH,1,0.321,0.441,0.322,0.462,yes,stretch_2.0x,0.321,0.545
B0026,050170113,I WASH I COULD GET WELL FASTER,I WASH I COULD GET WELL FOSTER,6,FASTER,FOSTER,AE->AA,1,1.289,1.974,1.315,1.962,yes,stretch_1.6x,1.289,2.377
B0027,020160264,NICE END TO TODAY,NICE AND TO TODAY,1,END,AND,EH->AH,0,0.367,0.468,0.383,0.484,yes,stretch_1.6x,0.367,0.513
B0028,000540106,LINDA CAN SEE THE SUN BOY,LINDA CAN SEE THE SIN BOY,4,SUN,SIN,AH->IH,1,0.872,1.075,0.87,1.073,yes,stretch_2.0x,0.872,1.262
B0029,004820378,I SHALL NEVER FORGIVE MYSELF FOR THIS EXPOSURE,I SHALL NEVER FORGIVE MYSELF FALL THIS EXPOSURE,5,FOR,FALL,R->L,2,1.569,1.65,1.609,1.85,yes,stretch_2.0x,1.569,1.715
B0030,054320061,HE NOW HAD BOTH EYES WIDE OPEN,HE NOW HAD BOTH EYES WHITE OPEN,5,WIDE,WHITE,D->T,2,1.188,1.43,1.291,1.513,yes,stretch_1.6x,1.188,1.559
B0031,060990029,IN THE EVENING I WENT AGAIN WHEN I SAW HIM,IN THE EVENING I WENT AGAIN ONE I SAW HIM,6,WHEN,ONE,EH->AH,1,1.327,1.468,1.268,1.409,yes,stretch_1.6x,1.327,1.537
B0032,009600287,I KNOW I AM GOING TO BED,I KNOW I AM GOING TO BID,6,BED,BID,EH->IH,1,1.032,1.416,1.01,1.393,yes,stretch_2.0x,1.032,1.792
B0033,011860373,LEGAL PROTECTION IS A MUST,LEGAL PROTECTION IS A MOST,4,MUST,MOST,AH->OW,1,1.055,1.521,1.069,1.533,yes,stretch_2.0x,1.055,1.979
B0034,080680170,BECAUSE HIS SON WAS GOING TO BE KILLED,BECAUSE HIS SAN WAS GOING TO BE KILLED,2,SON,SAN,AH->AE,1,0.486,0.668,0.485,0.646,yes,stretch_2.0x,0.486,0.834
B0035,096140011,YOU COULD ALWAYS TELL WHAT WAS ON MY MIND,YOU COULD ALWAYS DEL WHAT WAS ON MY MIND,3,TELL,DEL,T->D,0,0.702,0.923,0.686,0.908,yes,stretch_1.6x,0.702,1.04
B0036,020270001,SO TIM WENT TO FIND THE CAT,SO TIM WENT TO FIND THE KATE,6,CAT,KATE,AE->EY,1,1.231,1.695,1.229,1.672,yes,stretch_2.0x,1.231,2.151
B0037,020220021,FRIENDS PLANNED TO VISIT LATER IN THE AFTERNOON,FRIENDS PLANT TO VISIT LATER IN THE AFTERNOON,1,PLANNED,PLANT,D->T,4,0.361,0.722,0.381,0.641,yes,stretch_2.0x,0.361,1.067
B0038,096110018,THIS WAS GOING TO BE A GOOD FIGHT,THIS WAS GOING TO BE A GOOD FIT,7,FIGHT,FIT,AY->IH,1,1.206,1.649,1.21,1.614,yes,stretch_1.6x,1.206,1.906
B0039,020270077,TIM WAS WALKING TO T V ROOM,TERM WAS WALKING TO T V ROOM,0,TIM,TERM,IH->ER,1,0.0,0.203,0.0,0.202,yes,stretch_2.0x,0.0,0.398
B0040,010610087,BILLY NEEDS NEW CAP,BILLY NEEDS NEW CUP,3,CAP,CUP,AE->AH,1,0.872,1.358,1.202,1.242,yes,stretch_1.6x,0.872,1.642
B0041,005670282,THIS WILL BE A WILD RIDE TO THE FINISH,THIS WILL BE A WILD RID TO THE FINISH,5,RIDE,RID,AY->IH,1,1.144,1.404,1.127,1.288,yes,stretch_1.6x,1.144,1.544
B0042,080680106,COME DEAR PUT ON YOUR HAT,COME DEAR PUT ON YOUR HATE,5,HAT,HATE,AE->EY,1,0.977,1.405,0.993,1.358,yes,stretch_1.6x,0.977,1.654
B0043,030230119,HURT A CANCER THINGS WILL NEVER BE THE SAME,HEARD A CANCER THINGS WILL NEVER BE THE SAME,0,HURT,HEARD,T->D,2,0.0,0.16,0.0,0.161,yes,stretch_2.0x,0.0,0.312
B0044,000560030,FIVE EIGHT THREE TWO,FIVE EIGHT THREE DUE,3,TWO,DUE,T->D,0,1.097,1.138,1.097,1.138,yes,stretch_1.6x,1.097,1.154
B0045,014070040,MY WORK IS GOING TO BE CUT OUT FOR ME,MY WORK IS GOING TO BE CAUGHT OUT FOR ME,6,CUT,CAUGHT,AH->AA,1,1.085,1.246,1.07,1.252,yes,stretch_2.0x,1.085,1.391
B0046,096140016,THAT WAS THE FIRST THING ABOUT HER THAT ATTRACTED ME,THAT WAS THE FIRST THING ABOUT HER THAT ATTRACTIVE ME,8,ATTRACTED,ATTRACTIVE,D->V,7,1.685,2.127,1.754,2.218,yes,stretch_2.0x,1.685,2.553
B0047,096470016,HOW MANY KINGDOMS KNOW US NOT,HOW MINI KINGDOMS KNOW US NOT,1,MANY,MINI,EH->IH,1,0.161,0.322,0.141,0.302,yes,stretch_1.6x,0.161,0.403
B0048,021120233,WHAT DO YOU WANT TO READ ABOUT,WHAT DO YOU WANT TO RID ABOUT,5,READ,RID,EH->IH,1,0.733,0.876,0.753,0.876,yes,stretch_1.6x,0.733,0.946
B0049,065040044,YOUR MOTHER WILL RIDE HOME WITH ME,YOUR MOTHER WILL RID HOME WITH ME,3,RIDE,RID,AY->IH,1,0.584,0.785,0.624,0.765,yes,stretch_1.6x,0.584,0.89
B0050,030210074,WILL YOU TEA TELL HIM,WILL YOU TEA TILL HIM,3,TELL,TILL,EH->IH,1,0.588,0.77,0.591,0.794,yes,stretch_1.6x,0.588,0.863
B0051,020360302,HE PUT A SMILE ON MY FACE TONIGHT,HE POT A SMILE ON MY FACE TONIGHT,1,PUT,POT,UH->AA,1,0.182,0.303,0.202,0.323,yes,stretch_1.6x,0.182,0.36
B0052,096310009,I HAVE BETTER GET OUT OF HERE,I HAVE BETTER GATE OUT OF HERE,3,GET,GATE,EH->EY,1,0.706,0.827,0.643,0.885,yes,stretch_1.6x,0.706,0.884
B0053,096460015,BUT SOMETIMES LIFE CAN HURT,BUT SOMETIMES LIFE CAN HEARD,4,HURT,HEARD,T->D,2,1.217,1.602,1.209,1.672,yes,stretch_2.0x,1.217,1.979
B0054,090880090,THEY HAD TO SUPPORT HIM AND PUT HIM TO BED,THEY HAD TO SUPPORT HIM AND PUT HIM TO BET,9,BED,BET,D->T,2,1.591,1.974,1.591,1.974,yes,stretch_2.0x,1.591,2.348
B0055,030120003,BUT WHAT WAD YOU HAVE ME DO ABOUT IT,BUT WET WAD YOU HAVE ME DO ABOUT IT,1,WHAT,WET,AH->EH,1,0.181,0.322,0.202,0.364,yes,stretch_2.0x,0.181,0.447
B0056,011860256,THANKFUL FOR SO MANY OF YOU,THANKFUL FOR SO MONEY OF YOU,3,MANY,MONEY,EH->AH,1,0.783,0.964,0.792,0.975,yes,stretch_2.0x,0.783,1.129
B0057,036310021,YOU DO NOT KNOW MINE,YOU DO NOT KNOW MIN,4,MINE,MIN,AY->IH,1,0.723,1.266,1.086,1.126,yes,stretch_1.6x,0.723,1.583
B0058,030140128,WE MISS YOU AT EVERY TURN,WE MESS YOU AT EVERY TURN,1,MISS,MESS,IH->EH,1,0.183,0.326,0.181,0.343,yes,stretch_1.6x,0.183,0.396
B0059,096350024,IT WAS NOT HER PLACE TO SAY ANYTHING,IT WAS NOT HER PLUS TO SAY ANYTHING,4,PLACE,PLUS,EY->AH,2,0.95,1.193,0.946,1.168,yes,stretch_2.0x,0.95,1.42
B0060,054180087,OUR MEETING COULD NOT HAVE HAPPENED BETTER,OUR MEETING COULD NOT HAVE HAPPENED BUTTER,6,BETTER,BUTTER,EH->AH,1,1.515,1.939,1.528,1.95,yes,stretch_2.0x,1.515,2.355
B0061,005670055,PEOPLE WERE SCREAMING AND SHOUTING,PEOPLE WERE SCREAMING OWNED SHOUTING,3,AND,OWNED,AH->OW,0,0.925,1.006,0.946,1.107,yes,stretch_1.6x,0.925,1.039
B0062,028970294,WELL THAT IS A VERY FAIR POINT,WILL THAT IS A VERY FAIR POINT,0,WELL,WILL,EH->IH,1,0.0,0.244,0.0,0.241,yes,stretch_2.0x,0.0,0.48
B0063,011810197,SPEAK UP FOR THOSE WHO CANNOT SPEAK FOR THEMSELVES,SPEAK UP FALL THOSE WHO CANNOT SPEAK FOR THEMSELVES,2,FOR,FALL,R->L,2,0.363,0.424,0.403,0.625,yes,stretch_2.0x,0.363,0.469
B0064,010750104,SOME THREE WITH ON TO TEACHER'S OFFICE,SOME TREE WITH ON TO TEACHER'S OFFICE,1,THREE,TREE,TH->T,0,0.222,0.444,0.221,0.443,yes,stretch_1.6x,0.222,0.561
